,Class i,Class j,Statistic,P-value(rounded),P-value(exp)
2822,34.0,52.0,11.102871539633783,0.0,2.0038418151583472e-27
2823,34.0,53.0,14.21048140989369,0.0,5.933170958358326e-43
2824,34.0,54.0,22.20028472816836,0.0,1.0671501141872244e-90
2825,34.0,55.0,16.613835859741755,0.0,3.218877447987492e-56
2826,34.0,56.0,17.98443882556163,0.0,2.9626768438611672e-64
2827,34.0,57.0,17.967580958425835,0.0,5.795748836960948e-64
2828,34.0,58.0,8.693050502973259,0.0,9.558744549628528e-18
2829,34.0,59.0,17.835420328577275,0.0,9.250279087530984e-64
2830,34.0,60.0,20.63441708192206,0.0,4.0456826221190837e-81
2831,34.0,61.0,20.290690575390077,0.0,9.304631780494003e-80
2832,34.0,62.0,19.193417368130355,0.0,1.0962140825658365e-71
2833,34.0,63.0,21.471603611563037,0.0,5.969705629392434e-86
2834,34.0,64.0,24.42509600001675,0.0,6.4342585001598175e-105
2835,34.0,65.0,18.891151101881267,0.0,3.9585599098526855e-71
2836,34.0,66.0,23.780448938115722,0.0,2.619567232829496e-101
2837,34.0,67.0,24.140606849363007,0.0,3.778619803593542e-103
2838,34.0,68.0,24.48532179175618,0.0,2.085736401358279e-105
2839,34.0,69.0,16.6842101544602,0.0,7.669991487425863e-58
2840,34.0,70.0,15.960752724953975,0.0,4.441079900831449e-53
2841,34.0,71.0,13.31494664104415,0.0,2.3597386236513366e-38
2842,34.0,72.0,-7.021601663818191,0.0,3.92534661976017e-12
2843,34.0,73.0,5.5781342336009985,0.0,2.78257575328646e-08
2844,34.0,74.0,19.620547702526846,0.0,4.077646634792144e-75
2845,34.0,75.0,-5.227256649561809,0.0,2.0431025853475942e-07
2846,34.0,76.0,8.166298599602442,0.0,5.873014044956308e-16
2847,34.0,77.0,5.725188365308455,0.0,1.2023578484409313e-08
2848,34.0,78.0,22.887919746376777,0.0,3.890111948635462e-95
2849,34.0,79.0,23.461061835365303,0.0,5.2907754586050186e-99
2850,34.0,80.0,19.242307487150192,0.0,6.886014869937713e-73
2851,34.0,81.0,22.861825483653167,0.0,5.916367837534304e-95
2852,34.0,82.0,20.87229748273595,0.0,3.737898000934589e-83
2853,34.0,83.0,22.980996884344247,0.0,4.25383621468277e-96
2854,34.0,84.0,22.280037267704248,0.0,3.2030559769898593e-91
2855,34.0,85.0,18.62339704926973,0.0,3.48733676384581e-69
2856,34.0,86.0,24.679425071441365,0.0,7.414608755520597e-107
2857,34.0,87.0,24.937513984463003,0.0,4.628037887336996e-109
2858,34.0,88.0,23.220094592326294,0.0,1.500913691969352e-97
2859,34.0,89.0,18.711560999221643,0.0,1.1865341493966576e-69
2860,34.0,90.0,16.910317774698523,0.0,7.966261229280683e-59
2861,34.0,91.0,23.53941008531019,0.0,1.2314449030461579e-99
2862,34.0,92.0,22.95582065235903,0.0,4.618892480005968e-96
2863,34.0,93.0,-0.39497166886145546,0.692925,0.6929245782301527
2864,34.0,94.0,20.811362690571425,0.0,1.4825637671525136e-83
2865,34.0,95.0,18.388690484414152,0.0,5.0046697810035205e-68
2866,34.0,96.0,-4.849192686946481,1e-06,1.4134925903601562e-06
2867,34.0,97.0,23.677347367844014,0.0,1.6633906556109288e-100
2868,34.0,98.0,24.8285146166708,0.0,4.50543632914532e-108
2869,34.0,99.0,20.269998611132383,0.0,1.6248929487396045e-79
2870,35.0,36.0,-5.335001414255814,0.0,1.0774708067178536e-07
2871,35.0,37.0,-0.9366928987664139,0.349038,0.34903776153862354
2872,35.0,38.0,8.278748011286664,0.0,2.670025327368501e-16
2873,35.0,39.0,12.202707104827631,0.0,1.3911084006409532e-32
2874,35.0,40.0,0.1408273094735197,0.888022,0.8880220006676188
2875,35.0,41.0,3.80935260828979,0.000144,0.00014386477757857475
2876,35.0,42.0,9.732403303003553,0.0,9.277836884956204e-22
2877,35.0,43.0,9.720479177997788,0.0,1.205753022715067e-21
2878,35.0,44.0,-0.28916713865196475,0.772485,0.772485495529994
2879,35.0,45.0,-7.588416370069166,0.0,5.733694283709632e-14
2880,35.0,46.0,9.525893217094215,0.0,6.504864718661733e-21
2881,35.0,47.0,3.8528094091051686,0.000121,0.00012113705850274636
2882,35.0,48.0,-2.392829968098019,0.016819,0.016818606232163993
2883,35.0,49.0,-6.372645872122962,0.0,2.5946869313555957e-10
2884,35.0,50.0,5.534112443476353,0.0,3.655973487282348e-08
2885,35.0,51.0,6.746146603777854,0.0,2.1470603111625378e-11
2886,35.0,52.0,2.201848103916819,0.027832,0.027831844674217628
2887,35.0,53.0,6.208871335806777,0.0,6.74456885475247e-10
2888,35.0,54.0,15.506009912251093,0.0,1.2137193715979111e-49
2889,35.0,55.0,8.823613808261374,0.0,3.1493739659711806e-18
